customerid|customer_name|company|personel_number|comment|city|region|zipcode
7497A06A-BADA-2F1D-2939-B66693277EC4|Quinn Craft|Turpis Nulla Foundation|16211011-3079|nonummy ipsum non arcu.|Bozeman|MT|55063
A6C0EDD5-1D66-787C-19AD-21EEC1BA0CA6|Thane Howe|Montes Nascetur Ridiculus Corp.|16380529-9322|porttitor tellus non magna.|Kearney|NE|63545
80D434C6-73D9-E536-35F6-3AE8FA67867B|Eric Patel|Vestibulum Mauris Magna Corporation|16590229-3959|Vivamus euismod urna. Nullam lobortis|Olathe|KS|59710
412F23E4-080C-455B-2F25-E7199638AF74|Sonia Nielsen|Semper Limited|16480911-8955|Aliquam vulputate|Laramie|WY|98080
90BC96D0-BC4E-904B-34B2-F30827DEAADB|Tarik Pruitt|Cursus A Corp.|16990404-5185|gravida non, sollicitudin|Chandler|AZ|86899
A7D5876E-E6D6-5DB9-ADD5-9297D8B2E22B|Daryl Sharpe|Vestibulum Associates|16340726-6935|tortor at risus.|Clarksville|TN|61436
80132FFA-1DC2-F4F2-7E40-4DDE6A71F7A6|Ocean Salazar|Ligula Limited|16750923-6092|velit. Quisque varius. Nam|Chicago|IL|73536
CA0707E5-5153-199F-B8CD-B1279DB43A66|Marsden Burns|Donec Associates|16831113-6629|vulputate, nisi sem|Billings|MT|30088
B707235D-E3D5-751C-3F7C-C7A5B907E57A|Craig Conley|Non Lorem Vitae Inc.|16170630-6527|magna. Ut tincidunt orci quis|Burlington|VT|91511
3BFE688C-F525-5C0A-36AD-103C2B36B1ED|Carol Mathis|Ipsum Nunc Id LLC|16030411-7732|dictum eleifend, nunc|Reno|NV|58364
DA687AE6-534F-7BA6-AC1D-F07A3A112F23|Vladimir Delgado|Quam Vel Inc.|16751230-0737|Etiam|Toledo|OH|48717
2233E26C-FF50-AEE5-C0DA-B99EE2133681|Nyssa Ferrell|Nec Leo Morbi Company|16720505-5820|quam|Duluth|MN|76617
83892516-2C95-7BF7-78BE-8AF2E7B821BB|Nita Nunez|Nec Urna Suscipit LLC|16171111-9568|nunc|Newark|DE|37003
D4CABB2E-C964-0847-B8F2-09CF6B8FD854|Bevis Cherry|At Institute|16390914-4036|dolor.|Broken Arrow|OK|39771
